Table 1
Slide,Character,Image File,Title,Body Copy,Character Voice,Button Text
1,Kuromi & the gang,welcome misc.png,Welcome Violet! ✨,"This is YOUR very own app. Every day you use it, something good happens.",“We’re all going to help you with your routines as a team”,Let's check it out →
2,Kuromi,536b66b07a936d7845b525c36e9ebb1e.png,Your Routines 📋,Tap each task as you finish it. Complete the whole routine and we get to celebrate! 🎉,“Look out for surprise rewards and treats for goals  and milestone achievements.”,"Ooh, what else? →"
3,Kuromi,kuromi-dance.gif,Level Up ⚡,"Tap ⚡ whenever you do something 1% better than yesterday, or you have a little extra time or energy.","""Little by little. Day by day. That's the real magic. 💜""",Let’s keep going →
4,Cinnamoroll,cinnamoroll-sleepy.gif,Keep the streak 🔥,Show up every day and your streak grows. Long enough and you unlock real-life rewards. 🏆,"""Every day you come back… we'll be here waiting to celebrate your achievements 🩵""",Almost there →
5,Gudetama,gudetama-love.gif,You're ready 🌟,You don't have to be perfect. You just have to show up and do your best 💜,"“The human version of consistency is not 100%, and our best can vary day to day.”",Let's do this! ✨
