Violet Milestones
Violet Milestones,Reward Message,Reward category 
Streak,Reward Message,
3,🔥 3 days in a row! You get to pick a special treat from the kitchen!,A small treat
7,⭐ 7-day streak!! Violet gets to pick out an extra ‘fun’ outfit at H&M for camp,A Fun’ outfit/piece of clothing
14,👑 14 days!! Violet gets to pick a toy at Scooter Girl Toy Store,A medium sized toy
21,💜 21 days!! We go to a movie of Violet’s choice at the theatre,Movie with the family or equal outing time <3hours
30,🏆 30 DAYS!! You're absolutely incredible A morning at Wonderland Amusement Park with the family,1/2 day doing something cool with the family 
60,60 Days A Day at Wonderland Amusement Park with the family,1 day doing something cool with the family 
